Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
SPEN	Other	-0.616828454183036	-0.812325273150052	-0.530876815094079	-0.124648487433534	-0.773591714058355	-0.665523656095477	-0.586924628301535
SPIN1	Other	-0.532702308996024	-0.124594285592272	-0.117354602620543	-0.12829228894393	-0.0635479414815467	0.048381322646043	-0.16006527090969
SPIN2A	Other	0.559109342612222	0.54958693202933	0.489187211777003	0.206508260241838	0.528149091308902	0.549740126194011	0.360458350874717
SPIN2B	Other	0.528004691253662	0.438830243894381	0.348415520000316	0.0877095573385667	0.315464931740278	0.619952965421936	0.573041452158734
SPIN3	Other	0.12567474754194	0.199336245613743	0.18880149186532	0.0382150659890159	0.379846821074968	0.322644313482712	0.135016315142485
SPIN4	Other	0.203896655754607	0.30805598187632	0.187029686295174	-0.0967511408030149	0.0752477805497605	0.161870818438788	-0.136292855072291
SPOP	Other	0.795004460677544	0.72201376460998	0.792669765894609	0.400168753168904	0.571411089071526	0.683834588102796	0.629629197121582
SQSTM1	Other	0.034812746543755	0.184624028131409	0.0211126428092294	-0.0446975794347984	0.132838990085108	0.203143216181436	0.0706059262535901
SRC	Other	0.441921288913972	0.46138757794447	0.358169102639714	0.230262541519595	0.426537432700068	0.384627989833603	0.471198497981332
SRCAP	Essential	-0.210973803188121	-0.0311166329318719	-0.367186052527969	-0.116366323842555	-0.258481638065324	0.118010315879339	-0.0515996421424939
SRSF1	Essential	-0.536337516996998	-0.759836403945484	-0.627894254800777	0.284741626928612	-0.608963145644664	-0.523463154519335	-0.541851497520423
SRSF2	Other	-1.54386713318726	-1.38813702171064	-1.33940332754418	0.146765172371249	-1.27808284854493	-1.49041636153733	-1.3497756590956
SRSF3	Essential	-0.97125073440376	-0.903914339090193	-1.14224313883978	-0.0498285159957956	-1.46470195197916	-1.03082770978319	-1.29675896329588
SSRP1	Other	-0.115615613902822	-0.136824697142225	-0.165418402498189	0.0170322810666626	-0.0194752093990427	0.123510700977535	0.0733108993347037
STAG2	Other	0.0226180862807792	0.0261047890825251	0.00720640321010985	-0.196197278253655	0.204942545770983	0.14441869451903	0.0148676915642843
STAT3	Other	-0.0800926646109031	0.163949562583633	0.130796033516835	-0.12468399881744	0.114183779071664	0.112570300499522	0.237850607404871
STAT5B	Other	-0.0152102664030855	0.394223958733609	0.219068395452037	0.299544129382858	0.213037936113023	0.289873833835915	0.185240317318459
STK11	Other	-0.125572775545744	-0.116409192464703	-0.117146528564049	-0.0809568904596561	-0.618774291545828	-0.275496928398709	-0.107097690041643
STK17A	Other	0.693512638801643	0.686671643035908	0.638137981842428	0.356634307977315	0.765737076168741	0.526319466492817	0.618819536340258
STK17B	Other	0.346420605928246	0.493505789728837	0.532393665724902	0.186514411884588	0.320716184560256	0.337082167718256	0.397352210857289
STK19	Other	-0.035702737952241	-0.026029662343406	0.0322241764339987	-0.0691862067159713	0.141484214965186	-0.114678423110094	0.044086800715355
STK31	Other	0.16499486306592	0.000169908463409381	-0.0529384833228926	-0.052065176779841	0.00365404534154425	0.0788968017669203	0.0323818402567437
STK38	Other	0.073537198639585	-0.234953660492034	0.11816026788645	-0.0426499868222321	-0.139822801908472	0.257818776386183	-0.0213625443700965
STK4	Other	0.112876107084947	-0.146523715103694	-0.276044031970393	-0.0461121926172474	-0.115309979782628	-0.0614170229730755	-0.107113615936148
STUB1	Other	-0.299967605243242	-0.417762776239644	-0.246169668995638	-0.230958850256769	-0.417285917648322	-0.311915767861301	-0.337192931459184
SUDS3	Other	-0.611928492373405	-0.465376231496075	-0.415190124439814	0.345626492971973	-0.536125442392328	-0.456204650061518	-0.0410858263147991
SUFU	Other	0.321903607868082	0.415266627767298	0.338922065211732	0.404536271098352	0.425447708206132	0.514428928447313	0.341805339005133
SUPT16H	Other	-0.843940398294669	-0.63588393464179	-0.715517469457618	-0.0487280502659883	-0.616061040648822	-0.559092282816661	-0.392540383470284
SUPT20H	Other	0.624047368095439	0.797403700297647	0.684140854772868	0.388899202877761	0.708917499085101	0.736985640020969	0.847078840274888
SUPT3H	Other	0.466689350789417	0.305150380078121	0.352825871490207	0.222364912787301	0.178923710924785	0.00322846441490886	0.406063185757662
SUPT6H	Essential	-1.12163803966047	-0.987061404929659	-0.831809405317736	-0.176552669912196	-1.21579981966412	-1.20942624320423	-0.915114228754775
SUPT7L	Other	-0.267609002198073	-0.123724802957404	-0.119224031647986	-0.129937276960171	-0.192392218125289	-0.216659040361263	-0.0939987761491309
SUV39H1	Other	0.900913820923417	0.901251548850319	0.869308632577143	0.595865627528376	0.904132776794494	0.780789199811124	0.91430476914332
SUV39H2	Other	0.555338674399071	0.434545480214992	0.412416326866272	0.213227949435067	0.778549845343102	0.273380696953538	0.502877151616873
SUV420H1	Other	0.190997100428835	0.264411988297556	0.220202043449939	-0.112777866869377	0.109701639857538	0.358942837661417	0.128360811623761
SUV420H2	Other	-0.0208235951925359	0.137921425292095	0.0311873475066103	0.250813120678976	-0.197393009799173	0.0537960304410994	0.160369609709085
SUZ12	Other	0.329362433827324	0.57430518538747	0.487363697822885	-0.0086932968223533	0.160626266441322	0.272582723476178	0.247812561582908
TADA1	Other	0.549730387364959	0.648629623432047	0.616435431818095	0.270427999845554	0.471686550151156	0.366750546839534	0.477315898624223
TADA2A	Other	-0.187429650960029	-0.033957819482013	-0.110367646188954	0.0648021792080564	-0.0303541294706889	-0.267793318374813	-0.135563663820018
TADA2B	Other	0.422328040499674	0.478814963129988	0.426388135328502	0.0887370419974009	0.546960007709824	0.281452243703697	0.414921304177404
TADA3	Other	-0.318569043547592	-0.242441808607482	-0.237674236042998	0.0281839568286044	-0.141996329824637	-0.135082814372146	-0.145265265304312
TAF1	Other	-1.49842079366849	-1.7250463079311	-1.7281834869398	-0.235168503910905	-1.45450273495157	-1.59140481776964	-1.35699054835088
TAF10	Other	-0.512691923324183	-0.261013961785786	-0.200778647395647	0.195526796466515	-0.29491362073731	-0.357585881716819	-0.322284782684356
TAF12	Other	-0.537112271771077	-0.662060296143153	-0.424841584760844	0.0933969214713915	-0.303661621917475	-0.195415707088389	-0.416754517264641
TAF1L	Other	-0.367008128915641	-0.498940274663421	-0.328546368863538	-0.317802389282529	-0.261833055185216	-0.530783767157263	-0.297097135050095
TAF2	Other	-0.217317636408303	-0.373957688837031	-0.187757696438941	0.213473017127636	0.208567517719981	-0.165563159126594	0.159879347157344
TAF3	Other	0.160541108552212	0.233289199113682	0.262964650231697	0.378150875580683	0.377335811709261	0.0708808639332951	0.241274711921076
TAF4	Other	-0.35877284629324	-0.196305056421541	-0.337921333922429	-0.0648665019552234	-0.254800043962481	-0.215787545381306	-0.134937197647257
TAF5	Other	-0.961705323387077	-0.888604295952167	-0.865073134001773	0.0950111742496729	-0.797896666419388	-0.753729034484185	-0.508730244626699
TAF5L	Other	-0.148865638254722	0.321822740630744	0.0980496133847782	-0.145871797783968	-0.00679690309223306	0.0610290563626063	0.187552834347752
TAF6	Other	-0.25016560411091	-0.434556956740244	-0.377105802076286	0.319495763849084	-0.426143687974218	0.0421318355268411	-0.218644738847898
TAF6L	Other	0.0352794486828554	0.0373558601440542	0.133485056761181	0.0166497156667173	-0.0016843825397477	-0.238495704757737	-0.0810561252004798
TAF7	Other	-0.54178826507024	-0.564508021416495	-0.538788861979103	-0.0261334844094574	-0.604153053147901	-0.632511276480859	-0.633608320035088
TAF8	Other	-0.533967600494748	-0.0611886202848055	-0.521960147507303	0.30873630816834	-0.206637094186848	-0.163160555173708	-0.37294800599853
TAF9	Other	0.118511955938943	0.187689015006146	0.174808509508191	0.0114842726534957	0.249288816638942	0.231130157976836	0.312644688540626
TAF9B	Other	0.84642256019167	0.479425700205744	0.619574646139683	0.413009780902663	0.764830247971274	0.489076237456626	0.496643976148596
TBL1XR1	Other	0.294813866288318	0.223713245892649	0.0830979356366614	-0.033231972870227	0.187750571051867	0.191076598810676	-0.0874024302117772
TBX3	Other	0.253664786798186	0.457359363242634	0.308099293540717	0.250643719748533	0.281915319259345	0.470141246807518	0.237419801682571
TDRD1	Other	0.333544807926486	0.441115197593137	0.423885030089524	0.0938479038402316	0.581428158922306	0.266710154017318	0.32755890406984
TDRD10	Other	0.423628248594008	0.175382008126298	0.151510544344423	0.265692702643859	0.13521812390176	-0.144338101462528	0.172169268431782
TDRD12	Other	0.620919608415952	0.504225094214276	0.558227005895432	0.331504066614863	0.420086441584364	0.502530301350162	0.525960879635629
TDRD3	Other	0.258033602738346	-0.00715715608712318	0.00848593821928319	-0.151369321483656	0.167720240715803	0.0508242251704515	0.00672875497200176
TDRD5	Other	0.293042765412664	0.223808535024807	0.366716562182668	0.198669052004701	0.307184838052538	0.362432179972132	0.462192764470832
TDRD6	Other	0.193582498098843	0.28769507356871	0.243067152604805	0.229293367940477	0.248421171536559	0.442948321116669	0.294112720081613
