Gene	Category	DMSO	plasmid	PRMT5
ASXL2	Other	0.39119085683166	0.212161863491988	0.188352056895509
ASXL3	Other	-0.202688679739515	-0.222471616498717	-0.187799372866124
ATAD2	Other	0.188736213660653	-0.044348523399511	-0.0271208433740047
ATAD2B	Other	-0.181378181952707	-0.243314965768176	-0.147372346791733
ATM	Other	-0.0397859427851548	-0.0591073609499594	0.00322734967473533
ATR	Other	-1.20698271501872	0.25039161829512	-0.772431856661841
ATRX	Other	-0.528603820510161	-0.220826509865935	-0.471975488384441
ATXN7	Other	0.505351465038739	0.374438644626405	0.470464474527794
ATXN7L3	Other	-0.0234071484177941	0.154855769602509	0.105818397792884
AURKA	Other	-1.84927232742146	0.216756833662953	-1.58311457030819
AURKB	Other	-1.97576045057566	0.206574927051629	-1.99198764404476
AURKC	Other	0.378190908354784	0.236118115541929	0.27895017475282
AXIN1	Other	-0.0288470193422712	0.00666327556710612	-0.101971911933836
AXIN2	Other	-0.259801310205165	-0.100296942832579	-0.248046433329545
BAP1	Other	0.311852579664337	0.141306969169839	0.32975288362847
BARD1	Other	-0.607614851102817	0.188234535636303	-0.708015654212513
BAZ1A	Other	0.110491515515163	-0.0400706659555788	0.0798280171024064
BAZ1B	Other	-0.898148599813701	-0.416842741376996	-0.919938798633003
BAZ2A	Other	-0.206822566785648	-0.24494872604575	-0.31040092213231
BAZ2B	Other	-0.135020050390839	-0.171444473553756	-0.210220921907674
BCOR	Other	-0.254001272039966	-0.136138766937223	-0.304537990354056
BCORL1	Other	-0.138918248555149	-0.178717902912122	-0.00339594605401715
BIRC3	Other	0.125280912031711	-0.186824137868833	-0.0185361481086459
BMI1	Other	0.208644633079451	-0.0268701437794561	0.268287021082204
BMP2K	Other	0.190034556632063	0.294550376696019	0.266388317750739
BPTF	Other	-0.347231862420063	0.0861574199432221	-0.212709585281597
BRAF	Other	0.136201391256142	-0.0958386458259963	-0.0604585733483424
BRAP	Other	-0.051840778856172	-0.17881376989084	-0.0696544390569514
BRCA1	Other	-0.450482793469841	0.168560247465963	-0.321690483648696
BRCA2	Other	-0.021458962852986	-0.0963989435006194	0.00367399047050899
BRCC3	Other	0.571501157118256	0.327516399277551	0.545478949866112
BRD1	Other	0.0218212438055132	-0.136467230570739	-0.152591401763885
BRD2	Other	-0.618365029402452	-0.232491339892108	-0.529778719975876
BRD3	Other	-0.188709309842941	-0.186743900861596	-0.0931596218808968
BRD4	Other	-0.315692452387718	-0.200081324236414	-0.466805317679009
BRD7	Other	0.731062807240752	0.296833756972299	0.854101429937402
BRD8	Other	-0.237479461998607	-0.122326173998014	-0.0287460758679959
BRD9	Other	0.02804123568237	0.178583413725371	0.00261176474443347
BRDT	Nonessential	-0.391603391886572	-0.445529202158929	-0.382466429570731
BRMS1	Other	-0.400104404349223	0.0742530975397663	-0.315264585855227
BRMS1L	Other	0.144799792598024	-0.0151521177890064	0.0382519995113646
BRPF1	Other	0.54639057936504	-0.0327212675536695	0.463403469744596
BRPF3	Other	-0.367477840166317	-0.137951870736789	-0.385779488542628
BRWD1	Other	-0.059554926783122	-0.264728690244841	-0.0777040561123752
BRWD3	Other	0.0221929156687761	-0.181290067877993	-0.0047302318872031
BTRC	Other	-0.374066329254031	-0.158501820542307	-0.347905021130653
BUB1	Other	-0.812607025952527	-0.524131275397129	-0.910347488330142
BUB1B	Other	-1.49054637931822	-0.218754954171249	-1.4240071546635
CABIN1	Other	-0.973026971387616	-0.291079353024275	-0.833906366870809
CALR	Other	0.795340412589219	0.504092871969236	0.754615267441275
CAMKMT	Other	0.0299321853170548	-0.0842507736960832	-0.0892140478750279
